ts_recv,symbol,bid_px_00,ask_px_00,raw_symbol,bid_px,ask_px
2024-04-04 22:00:00.012859335+00:00,ESM4,5204.25,5190.0,ESM4,5204.25,5190.0
2024-04-04 22:00:00.012965552+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013234758+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013249068+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013340017+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013442854+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013442854+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013442854+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013442854+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013523753+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013539143+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013847773+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013866219+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.013866219+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.013952345+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.013991743+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.013997840+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014003493+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014009283+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014108281+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014434774+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014529270+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.014725699+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.015539089+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.015588520+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.015664217+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.015694061+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.015841784+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.016317106+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.016424408+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.016873229+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.017155465+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020398806+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020405488+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020540027+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020648332+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020656417+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020670757+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020676128+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.020807647+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.021014130+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.021020760+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.021129352+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.023451741+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.023566097+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.023571980+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.024207086+00:00,ESM4,5199.75,5200.0,ESM4,5199.75,5200.0
2024-04-04 22:00:00.024215227+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.024215227+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.024296151+00:00,ESM4,5199.75,5200.25,ESM4,5199.75,5200.25
2024-04-04 22:00:00.024487562+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024583283+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024596052+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024664253+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024673054+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024686601+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.024705468+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.025236744+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.026976755+00:00,ESM4,5200.0,5200.25,ESM4,5200.0,5200.25
2024-04-04 22:00:00.026983533+00:00,ESM4,5200.0,5200.5,ESM4,5200.0,5200.5
2024-04-04 22:00:00.027064714+00:00,ESM4,5200.0,5200.5,ESM4,5200.0,5200.5
2024-04-04 22:00:00.027078998+00:00,ESM4,5200.0,5200.5,ESM4,5200.0,5200.5
2024-04-04 22:00:00.027298210+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.027386609+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.027394647+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.027991539+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.028115434+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.028335726+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.028393631+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.028399340+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.028552408+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.029125739+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.029382248+00:00,ESM4,5200.25,5200.5,ESM4,5200.25,5200.5
2024-04-04 22:00:00.029399574+00:00,ESM4,5200.25,5201.0,ESM4,5200.25,5201.0
2024-04-04 22:00:00.029487344+00:00,ESM4,5200.25,5201.0,ESM4,5200.25,5201.0
2024-04-04 22:00:00.029549514+00:00,ESM4,5200.25,5201.0,ESM4,5200.25,5201.0
2024-04-04 22:00:00.029555796+00:00,ESM4,5200.25,5201.0,ESM4,5200.25,5201.0
2024-04-04 22:00:00.029622482+00:00,ESM4,5200.5,5201.0,ESM4,5200.5,5201.0
2024-04-04 22:00:00.029628447+00:00,ESM4,5200.5,5201.0,ESM4,5200.5,5201.0
2024-04-04 22:00:00.029657963+00:00,ESM4,5200.75,5201.0,ESM4,5200.75,5201.0
2024-04-04 22:00:00.029745502+00:00,ESM4,5200.75,5201.0,ESM4,5200.75,5201.0
2024-04-04 22:00:00.030531285+00:00,ESM4,5200.5,5201.0,ESM4,5200.5,5201.0
2024-04-04 22:00:00.030591648+00:00,ESM4,5200.75,5201.0,ESM4,5200.75,5201.0
