ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.6,189.6,189.2,189.3,473.0,189.4087,1701075600000,23,
AAPL,189.2,189.2,189.2,189.2,418.0,189.1945,1701075610000,7,
AAPL,189.25,189.25,189.25,189.25,301.0,189.25,1701075764000,2,
AAPL,189.25,189.25,189.25,189.25,105.0,189.25,1701075784000,2,
AAPL,189.27,189.27,189.27,189.27,250.0,189.2758,1701076340000,3,
AAPL,189.28,189.28,189.28,189.28,300.0,189.28,1701076353000,4,
AAPL,189.28,189.28,189.28,189.28,345.0,189.28,1701076391000,2,
AAPL,189.29,189.29,189.29,189.29,764.0,189.2958,1701076396000,9,
AAPL,189.39,189.39,189.39,189.39,300.0,189.3917,1701076447000,2,
AAPL,189.41,189.41,189.4,189.4,300.0,189.405,1701076497000,2,
AAPL,189.4,189.4,189.4,189.4,259.0,189.3968,1701076515000,5,
AAPL,189.3,189.3,189.3,189.3,568.0,189.3004,1701076683000,5,
AAPL,189.28,189.28,189.28,189.28,1797.0,189.2788,1701076686000,21,
AAPL,189.3,189.3,189.3,189.3,500.0,189.3,1701076909000,4,
AAPL,189.27,189.3,189.27,189.27,918.0,189.2882,1701077165000,19,
AAPL,189.25,189.25,189.25,189.25,1802.0,189.2584,1701077200000,16,
AAPL,189.3,189.3,189.3,189.3,500.0,189.3019,1701077305000,5,
AAPL,189.3,189.3,189.3,189.3,145.0,189.3,1701077307000,2,
AAPL,189.3,189.3,189.3,189.3,200.0,189.3,1701077687000,1,
AAPL,189.31,189.31,189.31,189.31,109.0,189.31,1701077761000,1,
AAPL,189.3,189.3,189.3,189.3,148.0,189.3,1701077762000,4,
AAPL,189.25,189.25,189.25,189.25,100.0,189.25,1701077883000,1,
AAPL,189.25,189.25,189.25,189.25,552.0,189.2492,1701078332000,17,
AAPL,189.25,189.25,189.25,189.25,130.0,189.2502,1701078433000,2,
AAPL,189.3,189.3,189.3,189.3,1108.0,189.2972,1701078904000,12,
AAPL,189.26,189.26,189.26,189.26,500.0,189.26,1701078969000,1,
AAPL,189.26,189.26,189.26,189.26,139.0,189.26,1701078972000,1,
AAPL,189.28,189.28,189.28,189.28,553.0,189.28,1701079128000,3,
AAPL,189.27,189.27,189.27,189.27,201.0,189.27,1701079355000,2,
AAPL,189.35,189.35,189.35,189.35,471.0,189.3479,1701079849000,8,
AAPL,189.4,189.4,189.4,189.4,1173.0,189.4,1701080014000,27,
AAPL,189.43,189.43,189.43,189.43,200.0,189.4297,1701081525000,2,
AAPL,189.45,189.45,189.45,189.45,603.0,189.4499,1701081750000,9,
AAPL,189.5,189.5,189.5,189.5,311.0,189.4868,1701081775000,16,
AAPL,189.48,189.48,189.48,189.48,280.0,189.48,1701081866000,4,
AAPL,189.49,189.49,189.49,189.49,127.0,189.49,1701082153000,4,
AAPL,189.5,189.51,189.5,189.51,1123.0,189.5053,1701082398000,22,
