ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"UD:1V: VT 2536859",1712354340000000000,"T",9223372036.854776,"",2536859,1721398215586,1
1712275200000000000,"ESZ6 P6000",1797604200000000000,"P",6000.0,"ESZ6",539869,1721398215586,1
1712275200000000000,"ESM5 C3300",1750426200000000000,"C",3300.0,"ESM5",580465,1721398215586,1
1712275200000000000,"ESM4 C5495",1718976600000000000,"C",5495.0,"ESM4",42337508,1721398215586,1
1712275200000000000,"ESZ6 P4500",1797604200000000000,"P",4500.0,"ESZ6",273382,1721398215586,1
1712275200000000000,"UD:1V: VT 2526518",1712354340000000000,"T",9223372036.854776,"",2526518,1721398215586,1
1712275200000000000,"ESH6 P5500",1774013400000000000,"P",5500.0,"ESH6",42431943,1721398215586,1
1712275200000000000,"ESZ6 C4400",1797604200000000000,"C",4400.0,"ESZ6",607015,1721398215586,1
1712275200000000000,"ESH5 P2700",1742563800000000000,"P",2700.0,"ESH5",695045,1721398215586,1
1712275200000000000,"UD:1V: GN 2529492",1712354340000000000,"T",9223372036.854776,"",2529492,1721398215586,1
1712320407788427489,"UD:1V: GN 2787058",1712354340000000000,"T",9223372036.854776,"",2787058,1721398215586,1
1712275200000000000,"ESZ5 C0800",1766154600000000000,"C",800.0,"ESZ5",185594,1721398215586,1
1712275200000000000,"ESZ6 C4700",1797604200000000000,"C",4700.0,"ESZ6",327622,1721398215586,1
1712275200000000000,"UD:1V: ST 2680086",1712354340000000000,"T",9223372036.854776,"",2680086,1721398215586,1
1712277697479014848,"UD:1V: GN 2768014",1712354340000000000,"T",9223372036.854776,"",2768014,1721398215586,1
1712339962965331172,"UD:1V: BO 2800307",1712354340000000000,"T",9223372036.854776,"",2800307,1721398215586,1
1712275200000000000,"ESZ6 C7200",1797604200000000000,"C",7200.0,"ESZ6",42332439,1721398215586,1
1712271742068166722,"UD:1V: GN 2767450",1712354340000000000,"T",9223372036.854776,"",2767450,1721398215586,1
1712275200000000000,"ESZ5 P5900",1766154600000000000,"P",5900.0,"ESZ5",335017,1721398215586,1
1712275200000000000,"ESM4 C5300",1718976600000000000,"C",5300.0,"ESM4",317427,1721398215586,1
1712275200000000000,"UD:1V: IC 2579902",1712354340000000000,"T",9223372036.854776,"",2579902,1721398215586,1
1712275200000000000,"UD:1V: SG 2621165",1712354340000000000,"T",9223372036.854776,"",2621165,1721398215586,1
1712275200000000000,"ESH6 C1900",1774013400000000000,"C",1900.0,"ESH6",42429680,1721398215586,1
1712275200000000000,"ESZ6 P7200",1797604200000000000,"P",7200.0,"ESZ6",42332440,1721398215586,1
1712275200000000000,"UD:1V: BX 2512597",1712354340000000000,"T",9223372036.854776,"",2512597,1721398215586,1
1712275200000000000,"UD:1V: VT 2687835",1712354340000000000,"T",9223372036.854776,"",2687835,1721398215586,1
1712275200000000000,"ESU5 C3700",1758288600000000000,"C",3700.0,"ESU5",42196487,1721398215586,1
1712275200000000000,"UD:1V: VT 2524077",1712354340000000000,"T",9223372036.854776,"",2524077,1721398215586,1
1712275200000000000,"ESH6 C6000",1774013400000000000,"C",6000.0,"ESH6",42431192,1721398215586,1
1712275200000000000,"ESZ4 C5850",1734705000000000000,"C",5850.0,"ESZ4",42295501,1721398215586,1
1712275200000000000,"ESU5 C6400",1758288600000000000,"C",6400.0,"ESU5",42198129,1721398215586,1
1712275200000000000,"UD:1V: VT 2535719",1712354340000000000,"T",9223372036.854776,"",2535719,1721398215586,1
1712275200000000000,"UD:1V: VT 2651564",1712354340000000000,"T",9223372036.854776,"",2651564,1721398215586,1
1712275200000000000,"ESU4 C6400",1726839000000000000,"C",6400.0,"ESU4",4106155,1721398215586,1
1712275200000000000,"UD:1V: IC 2764309",1712354340000000000,"T",9223372036.854776,"",2764309,1721398215586,1
1712322789780921625,"UD:1V: 12 2788977",1712354340000000000,"T",9223372036.854776,"",2788977,1721398215586,1
1712275200000000000,"ESZ7 C8500",1829053800000000000,"C",8500.0,"ESZ7",81376,1721398215586,1
1712317863625369533,"UD:1V: VT 2785756",1712354340000000000,"T",9223372036.854776,"",2785756,1721398215586,1
1712287759296848748,"UD:1V: GN 2768997",1712354340000000000,"T",9223372036.854776,"",2768997,1721398215586,1
1712275200000000000,"UD:1V: GN 2560064",1712354340000000000,"T",9223372036.854776,"",2560064,1721398215586,1
1712275200000000000,"UD:1V: GN 2500044",1712354340000000000,"T",9223372036.854776,"",2500044,1721398215586,1
1712275200000000000,"ESM4 P5800",1718976600000000000,"P",5800.0,"ESM4",340913,1721398215586,1
1712275200000000000,"UD:1V: GT 2539190",1712354340000000000,"T",9223372036.854776,"",2539190,1721398215586,1
1712275200000000000,"UD:1V: VT 2524884",1712354340000000000,"T",9223372036.854776,"",2524884,1721398215586,1
1712275200000000000,"ESZ4 P4300",1734705000000000000,"P",4300.0,"ESZ4",266517,1721398215586,1
1712275200000000000,"UD:1V: GT 2540677",1712354340000000000,"T",9223372036.854776,"",2540677,1721398215586,1
1712275200000000000,"UD:1V: GN 2567183",1712354340000000000,"T",9223372036.854776,"",2567183,1721398215586,1
1712275200000000000,"ESH5 C4600",1742563800000000000,"C",4600.0,"ESH5",788482,1721398215586,1
1712275200000000000,"ESZ4 C3750",1734705000000000000,"C",3750.0,"ESZ4",42290829,1721398215586,1
1712275200000000000,"ESU4 P5500",1726839000000000000,"P",5500.0,"ESU4",632861,1721398215586,1
1712275200000000000,"UD:1V: GN 2743841",1712354340000000000,"T",9223372036.854776,"",2743841,1721398215586,1
1712275200000000000,"UD:1V: BX 2743582",1712354340000000000,"T",9223372036.854776,"",2743582,1721398215586,1
